surah_number,verse_number,page,x,y
104,2,601,0.0667,0.414
104,3,601,0.5349,0.477
104,4,601,0.0698,0.476
104,5,601,0.5721,0.534
104,6,601,0.2233,0.535
104,7,601,0.7442,0.596
104,8,601,0.3783,0.595
104,9,601,0.0698,0.596
105,1,601,0.3302,0.777
105,2,601,0.755,0.839
105,3,601,0.2217,0.838
105,4,601,0.6186,0.898
105,5,601,0.0806,0.899
106,1,602,0.6326,0.176
106,2,602,0.9287,0.233
106,3,602,0.3814,0.235
106,4,602,0.2357,0.296
107,1,602,0.3829,0.481
107,2,602,0.6744,0.541
107,3,602,0.0713,0.54
107,4,602,0.5938,0.601
107,5,602,0.907,0.657
107,6,602,0.4806,0.661
107,7,602,0.0977,0.661
108,1,602,0.4915,0.84
108,2,602,0.0729,0.842
108,3,602,0.245,0.901
109,1,603,0.5054,0.174
109,2,603,0.0698,0.175
109,3,603,0.4946,0.234
109,4,603,0.0713,0.233
109,5,603,0.4961,0.294
109,6,603,0.0713,0.296
110,1,603,0.386,0.479
110,2,603,0.4062,0.536
110,3,603,0.1969,0.597
111,1,603,0.4884,0.779
111,2,603,0.7442,0.838
111,3,603,0.245,0.838
111,4,603,0.6372,0.897
111,5,603,0.0853,0.898
112,1,604,0.5953,0.177
112,2,604,0.2574,0.177
112,3,604,0.7116,0.235
112,4,604,0.0853,0.236
113,1,604,0.5364,0.419
113,2,604,0.1674,0.421
113,3,604,0.5659,0.48
113,4,604,0.7132,0.537
113,5,604,0.1504,0.538
114,1,604,0.5302,0.721
114,2,604,0.1798,0.72
114,3,604,0.7876,0.782
114,4,604,0.1798,0.779
114,5,604,0.2,0.841
114,6,604,0.2806,0.9
